id,type,x_coord,y_coord,height_m,ground_elevation_m,description
JEJU_OBS_068,Tree,329434.38,1265963.55,24.4,43.29745951583526,Test obstacle 68 for Jeju Airport
JEJU_OBS_069,Building,330716.66,1263941.56,63.1,31.57824506344003,Test obstacle 69 for Jeju Airport
JEJU_OBS_070,Structure,328396.6,1258563.3,30.7,47.634506132511945,Test obstacle 70 for Jeju Airport
JEJU_OBS_071,Tower,330434.97,1268466.76,80.1,45.804445021280785,Test obstacle 71 for Jeju Airport
JEJU_OBS_072,Structure,329480.96,1258576.9,31.9,17.695551184533187,Test obstacle 72 for Jeju Airport
JEJU_OBS_073,Building,334353.37,1267027.09,38.4,23.590063737742913,Test obstacle 73 for Jeju Airport
JEJU_OBS_074,Tower,323352.11,1263528.89,44.2,48.84703049358694,Test obstacle 74 for Jeju Airport
JEJU_OBS_075,Tower,329836.35,1258625.5,115.3,25.087192981752832,Test obstacle 75 for Jeju Airport
JEJU_OBS_076,Tree,340679.26,1259637.1,69.7,17.94996512684116,Test obstacle 76 for Jeju Airport
JEJU_OBS_077,Tower,327784.36,1264384.35,23.3,9.948519937126449,Test obstacle 77 for Jeju Airport
JEJU_OBS_078,Antenna,328277.43,1256019.96,69.8,49.684453568534295,Test obstacle 78 for Jeju Airport
JEJU_OBS_079,Tree,334882.82,1255991.21,18.5,15.867018870376432,Test obstacle 79 for Jeju Airport
JEJU_OBS_080,Structure,336401.93,1269223.39,118.7,6.026347115273156,Test obstacle 80 for Jeju Airport
JEJU_OBS_081,Tree,331100.14,1270511.29,27.3,29.773090636862953,Test obstacle 81 for Jeju Airport
JEJU_OBS_082,Structure,333399.06,1262411.46,15.9,12.981683977036184,Test obstacle 82 for Jeju Airport
JEJU_OBS_083,Tree,331628.02,1266931.28,71.5,29.488715556607143,Test obstacle 83 for Jeju Airport
JEJU_OBS_084,Structure,333301.66,1257343.67,53.6,42.51774029768862,Test obstacle 84 for Jeju Airport
JEJU_OBS_085,Antenna,332918.35,1263507.49,37.5,49.565572406218855,Test obstacle 85 for Jeju Airport
JEJU_OBS_086,Structure,326931.76,1266209.65,21.0,1.6601010030689145,Test obstacle 86 for Jeju Airport
JEJU_OBS_087,Tower,325978.1,1260917.19,83.0,31.6106974702693,Test obstacle 87 for Jeju Airport
JEJU_OBS_088,Building,338291.73,1255565.71,28.7,4.13926077385296,Test obstacle 88 for Jeju Airport
JEJU_OBS_089,Structure,338923.37,1267373.33,67.8,36.72734777080099,Test obstacle 89 for Jeju Airport
JEJU_OBS_090,Building,333634.15,1266869.93,77.0,40.55599567867327,Test obstacle 90 for Jeju Airport
JEJU_OBS_091,Tower,330618.79,1263465.76,31.1,4.78198352763558,Test obstacle 91 for Jeju Airport
JEJU_OBS_092,Building,338870.63,1264560.76,59.4,29.387483207753018,Test obstacle 92 for Jeju Airport
JEJU_OBS_093,Antenna,339271.88,1267178.7,71.7,10.059069026619122,Test obstacle 93 for Jeju Airport
JEJU_OBS_094,Building,334782.51,1257730.31,27.1,2.0608601806813676,Test obstacle 94 for Jeju Airport
JEJU_OBS_095,Tower,339643.83,1265867.1,102.7,44.112371745824554,Test obstacle 95 for Jeju Airport
JEJU_OBS_096,Structure,332093.2,1263025.22,14.4,12.92868511399049,Test obstacle 96 for Jeju Airport
JEJU_OBS_097,Tower,341189.94,1265310.44,92.5,38.07735796674029,Test obstacle 97 for Jeju Airport
JEJU_OBS_098,Antenna,325257.41,1263149.35,100.6,12.197408765939798,Test obstacle 98 for Jeju Airport
JEJU_OBS_099,Structure,327893.15,1260286.26,105.4,30.893867575038712,Test obstacle 99 for Jeju Airport
JEJU_OBS_100,Antenna,333749.82,1263168.21,5.7,24.637942150509517,Test obstacle 100 for Jeju Airport
JEJU_OBS_101,Structure,333389.25,1256780.16,76.2,26.99116143011413,Test obstacle 101 for Jeju Airport
JEJU_OBS_102,Building,329789.97,1254691.35,61.8,45.65423589974875,Test obstacle 102 for Jeju Airport
JEJU_OBS_103,Structure,341334.86,1261683.55,104.4,47.23492318175209,Test obstacle 103 for Jeju Airport
JEJU_OBS_104,Structure,330394.07,1264843.9,74.7,11.78488205454612,Test obstacle 104 for Jeju Airport
JEJU_OBS_105,Structure,331210.68,1263993.04,54.1,39.31854319099636,Test obstacle 105 for Jeju Airport
JEJU_OBS_106,Building,324752.11,1260753.15,92.4,3.1194473397824773,Test obstacle 106 for Jeju Airport
JEJU_OBS_107,Antenna,337416.12,1258193.12,72.0,34.14539017250371,Test obstacle 107 for Jeju Airport
JEJU_OBS_108,Tower,339831.01,1269428.31,70.5,28.115513961664146,Test obstacle 108 for Jeju Airport
JEJU_OBS_109,Tower,333612.45,1262214.53,10.1,46.05013895378157,Test obstacle 109 for Jeju Airport
JEJU_OBS_110,Tree,334626.2,1264781.34,18.6,44.392932474752314,Test obstacle 110 for Jeju Airport
JEJU_OBS_111,Structure,335390.35,1259524.74,21.3,9.263804510630159,Test obstacle 111 for Jeju Airport
JEJU_OBS_112,Antenna,333413.88,1262463.07,11.2,7.401294694115268,Test obstacle 112 for Jeju Airport
JEJU_OBS_113,Building,331220.75,1262608.76,32.6,13.164722706079901,Test obstacle 113 for Jeju Airport
JEJU_OBS_114,Tree,337321.7,1259306.56,67.3,16.991052471714855,Test obstacle 114 for Jeju Airport
JEJU_OBS_115,Building,329576.47,1261928.74,45.6,9.257437376136956,Test obstacle 115 for Jeju Airport
JEJU_OBS_116,Tree,325683.42,1266032.3,64.7,42.4623362602304,Test obstacle 116 for Jeju Airport
JEJU_OBS_117,Tree,336838.25,1266280.7,105.5,9.54778752645195,Test obstacle 117 for Jeju Airport
JEJU_OBS_118,Building,332354.71,1263371.86,16.8,11.559472201689225,Test obstacle 118 for Jeju Airport
JEJU_OBS_119,Tree,338290.06,1258194.59,114.7,27.622854945133078,Test obstacle 119 for Jeju Airport
JEJU_OBS_120,Tower,335295.65,1255558.02,30.2,49.03228909424344,Test obstacle 120 for Jeju Airport
JEJU_OBS_121,Structure,330569.14,1272585.68,97.9,13.634694124133706,Test obstacle 121 for Jeju Airport
JEJU_OBS_122,Tree,331193.92,1253328.45,38.6,21.100857751383494,Test obstacle 122 for Jeju Airport
JEJU_OBS_123,Tower,334838.19,1264408.39,34.0,17.847046454895928,Test obstacle 123 for Jeju Airport
JEJU_OBS_124,Building,336560.08,1261995.6,76.3,32.074475700664586,Test obstacle 124 for Jeju Airport
JEJU_OBS_125,Building,326945.88,1263490.9,68.9,28.296539018672608,Test obstacle 125 for Jeju Airport
JEJU_OBS_126,Building,338975.16,1260386.0,99.6,43.40893975554106,Test obstacle 126 for Jeju Airport
JEJU_OBS_127,Structure,333966.58,1263451.02,44.9,4.928918731585519,Test obstacle 127 for Jeju Airport
JEJU_OBS_128,Building,332679.08,1263459.36,34.8,9.176271493398763,Test obstacle 128 for Jeju Airport
JEJU_OBS_129,Structure,341487.35,1260923.89,108.8,47.577384409193364,Test obstacle 129 for Jeju Airport
JEJU_OBS_130,Structure,338274.42,1254760.91,39.8,21.757397353824544,Test obstacle 130 for Jeju Airport
JEJU_OBS_131,Structure,337025.52,1269789.89,93.5,15.92156960599812,Test obstacle 131 for Jeju Airport
JEJU_OBS_132,Building,339149.38,1260666.88,82.3,47.74615772802758,Test obstacle 132 for Jeju Airport
JEJU_OBS_133,Antenna,335514.81,1255077.2,94.2,42.69682955351284,Test obstacle 133 for Jeju Airport
JEJU_OBS_134,Tower,326455.15,1268112.84,93.8,49.03361850549513,Test obstacle 134 for Jeju Airport
JEJU_OBS_135,Tower,328133.36,1255681.96,66.5,24.297281504130968,Test obstacle 135 for Jeju Airport
JEJU_OBS_136,Building,335687.14,1258068.19,44.4,38.089555634532914,Test obstacle 136 for Jeju Airport
JEJU_OBS_137,Tree,329112.04,1269331.09,82.7,49.7149545119857,Test obstacle 137 for Jeju Airport
JEJU_OBS_138,Tower,331810.0,1255151.78,113.8,26.381216188520135,Test obstacle 138 for Jeju Airport
JEJU_OBS_139,Building,330373.23,1268561.2,93.2,1.901144513551023,Test obstacle 139 for Jeju Airport
JEJU_OBS_140,Building,334247.83,1261249.64,13.9,28.842264621001185,Test obstacle 140 for Jeju Airport
JEJU_OBS_141,Building,332319.5,1267891.11,112.4,48.83649449822134,Test obstacle 141 for Jeju Airport
JEJU_OBS_142,Antenna,337975.49,1259250.83,56.8,34.73086534892481,Test obstacle 142 for Jeju Airport
JEJU_OBS_143,Structure,330076.44,1263456.07,58.6,17.915072513080542,Test obstacle 143 for Jeju Airport
JEJU_OBS_144,Antenna,338024.87,1263615.59,58.9,45.24480316479369,Test obstacle 144 for Jeju Airport
JEJU_OBS_145,Tower,329299.05,1260350.87,30.5,48.84004000174914,Test obstacle 145 for Jeju Airport
JEJU_OBS_146,Building,329373.29,1257920.83,91.5,39.33374860021041,Test obstacle 146 for Jeju Airport
JEJU_OBS_147,Structure,332491.07,1272417.1,108.4,38.0586742298535,Test obstacle 147 for Jeju Airport
JEJU_OBS_148,Tree,328924.59,1261000.89,25.0,33.587355720419424,Test obstacle 148 for Jeju Airport
JEJU_OBS_149,Structure,334926.45,1260818.46,23.1,48.511047121631464,Test obstacle 149 for Jeju Airport
JEJU_OBS_150,Antenna,329969.48,1257019.16,54.7,42.01799552445716,Test obstacle 150 for Jeju Airport
